ASK,7,16062
ASK,12,16037
BID,98,16037
BID,60,16009
ASK,24,16045
ASK,14,16071
ASK,44,16091
ASK,26,16037
BID,10,16045
BID,9,16038
ASK,46,16081
ASK,94,16038
BID,73,16020
ASK,3,16037
BID,80,16038
BID,3,16013
ASK,49,16099
ASK,9,16071
ASK,60,16094
BID,92,16038
ASK,49,16096
ASK,16,16072
ASK,69,16078
BID,64,16045
ASK,42,16055
BID,33,16050
ASK,37,16069
ASK,16,16050
BID,13,16055
BID,77,16055
BID,86,16020
BID,60,16000
ASK,10,16069
BID,71,16014
BID,52,16015
ASK,79,16080
ASK,84,16055
ASK,90,16071
ASK,9,16050
BID,17,16055
BID,54,16045
ASK,47,16050
ASK,33,16045
ASK,71,16045
ASK,87,16038
ASK,31,16037
BID,33,16050
BID,42,16050
BID,91,16055
BID,41,16001
ASK,55,16055
BID,81,16062
ASK,31,16078
ASK,44,16062
BID,56,16069
ASK,85,16071
ASK,14,16088
BID,5,16024
BID,68,16071
ASK,43,16069
BID,98,16036
ASK,1,16093
BID,62,16069
BID,53,16060
ASK,97,16070
ASK,80,16069
BID,8,16056
ASK,61,16062
ASK,70,16068
ASK,37,16060
ASK,89,16091
BID,27,16051
BID,73,16020
ASK,47,16060
ASK,38,16056
ASK,86,16055
BID,47,16037
BID,89,16055
BID,79,16056
BID,52,16060
BID,15,16062
BID,59,16029
BID,67,16062
ASK,35,16062
ASK,40,16062
ASK,53,16060
BID,76,16060
BID,28,16034
ASK,51,16060
BID,24,16060
ASK,73,16082
BID,62,16062
ASK,35,16062
ASK,11,16062
BID,91,16062
BID,94,16042
ASK,33,16062
BID,45,16068
ASK,30,16062
BID,11,16035
ASK,74,16064
BID,78,16064
ASK,4,16064
BID,9,16057
BID,51,16033
BID,24,16031
BID,32,16054
BID,48,16018
ASK,71,16062
BID,52,16027
ASK,13,16098
ASK,0,16060
ASK,89,16080
ASK,66,16077
ASK,99,16095
BID,99,16000
BID,2,16048
BID,29,16062
BID,42,16062
BID,63,16007
ASK,98,16062
ASK,75,16060
ASK,18,16070
BID,70,16021
ASK,90,16057
BID,6,16011
BID,52,16057
BID,36,16057
BID,73,16060
BID,88,16062
ASK,34,16063
ASK,88,16062
ASK,80,16060
BID,74,16035
ASK,95,16057
BID,86,16051
BID,89,16057
ASK,84,16057
BID,38,16042
BID,97,16012
BID,40,16057
BID,76,16057
ASK,17,16061
BID,62,16000
ASK,94,16057
BID,89,16031
ASK,11,16086
BID,17,16057
BID,99,16057
BID,11,16060
ASK,29,16057
BID,32,16029
ASK,54,16057
ASK,14,16056
ASK,10,16069
ASK,22,16060
ASK,16,16056
ASK,63,16056
ASK,61,16055
ASK,89,16059
ASK,1,16054
BID,19,16055
ASK,73,16054
BID,89,16054
BID,27,16012
ASK,4,16054
ASK,34,16092
BID,34,16006
BID,22,16020
ASK,5,16072
BID,14,16046
